ds_id,Dataset title,variable,unit,israster,unit_mod,type_of_data,class_of_data
16,EMHIRES: Wind power generation,installed wind power capacity,MW,FALSE,MW,en_power,energy_cap
17,EMHIRES: Solar power generation,installed PV power capacity,MW,FALSE,MW,en_power,energy_cap
18,Energy Efficiency Indicator,Energy intensity level of primary energy ,MJ/2011 USD PPP,FALSE,MJ/$2011,energy,socio_economic
19,EDGAR CO_ emissions,Emissions,Mt CO2/year,FALSE,Mt CO2,emissions,environmental
20,Copernicus: hourly data on pressure levels,relative_humidity,%,TRUE,%,climate,environmental
21,European Digital Elevation Model (EU-DEM),Elevation,m,TRUE,m,elevation,environmental
22,Eurostat: Energy efficiency indicator,Final energy consumption - distance to 2020 target,Million tonnes of oil equivalent,FALSE,Mktoe,en_consumption,energy_cons
22,Eurostat: Energy efficiency indicator,Final energy consumption - distance to 2030 target,Million tonnes of oil equivalent,FALSE,Mktoe,en_consumption,energy_cons
22,Eurostat: Energy efficiency indicator,Final energy consumption (Europe 2020-2030),Million tonnes of oil equivalent,FALSE,Mktoe,en_consumption,energy_cons
22,Eurostat: Energy efficiency indicator,Primary energy consumption - distance to 2020 target,Million tonnes of oil equivalent,FALSE,Mktoe,en_consumption,energy_cons
22,Eurostat: Energy efficiency indicator,Primary energy consumption - distance to 2030 target,Million tonnes of oil equivalent,FALSE,Mktoe,en_consumption,energy_cons
22,Eurostat: Energy efficiency indicator,Primary energy consumption (Europe 2020-2030),Million tonnes of oil equivalent,FALSE,Mktoe,en_consumption,energy_cons
23,Projected fresh water use from the European energy sector,Gross El. Gen (GWh) Biomass Wst,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Gross El. Gen (GWh) Gas Fired,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Gross El. Gen (GWh) Geothermal,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Gross El. Gen (GWh) Nuclear,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Gross El. Gen (GWh) Oil Fired,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Gross El. Gen (GWh) SolidsFired,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Production (ktoe) NGas- NoOfshr,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Production (ktoe)Oil- NO OFFSHR,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Production (ktoe) Solids,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Refineries,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Total energy production,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Total energy system,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Total energy transformation,million m3,FALSE,Mm3,?,environmental
23,Projected fresh water use from the European energy sector,Total power generation,million m3,FALSE,Mm3,?,environmental
24,Photovoltaic power potential,Longterm monthly average of potential photovoltaic electricity production,kWh/kWp,TRUE,kWh/kWp,en_production,energy_prod
25,HotMaps: Wind potential,Wind potential at 100 m,GWh,TRUE,GWh,en_production,energy_prod
25,HotMaps: Wind potential,Wind potential at 200 m,GWh,TRUE,GWh,en_production,energy_prod
25,HotMaps: Wind potential,Wind potential at 50 m,GWh,TRUE,GWh,en_production,energy_prod
27,S2BIOM: Biomass supply,Base potential : 4212,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Bark residues from pulp and paper industry,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Biowaste as part of integrally collected municipal waste: Biodegradable waste of not separately collected municipal  waste (excluding textile and paper),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Black liquor,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Cardoon (Perennial crop),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Cereal bran,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Cereals straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Giant reed (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Grassy biomass from road side verges,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Hazardous post consumer wood,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Logging residues from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Logging residues from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Logging residues from thinnings from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Logging residues from thinnings from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Maize stover,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Miscanthus (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Non hazardous post consumer wood,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Oil seed rape straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Olive-stones,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Other SRC,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Pressed grapes dregs,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Reed Canary Grass (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Residues from citrus tree plantations,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Base potential : Residues from fruit tree plantations (apples, pears and soft fruit)",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Residues from further woodprocessing,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Residues from olives tree plantations,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Residues from vineyards,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Residues industries producing semi finished wood based panels ,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Rice husk,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Rice straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Sawdust from sawmills from conifers,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Sawdust from sawmills from nonconifers,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Base potential : Sawmill residues: excluding sawdust, conifers",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Base potential : Sawmill residues: excluding sawdust, nonconifers",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Separately collected biowaste: Biodegradable waste of separately collected municipal  waste (excluding textile and paper),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : SRC Poplar,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : SRC Willow,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Stemwood from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Stemwood from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Stemwood from thinnings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Stemwood from thinnings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Stumps from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Stumps from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Sugarbeet leaves,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Sunflower straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Base potential : Switchgrass (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Base potential : Unused grassland cuttings (abandoned grassland, managed grasslands not used for feed)  ",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,cost : 2225,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Cardoon (Perennial crop),Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Cereals straw,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Giant reed (Perennial grass),Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Grassy biomass from road side verges,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Logging residues from final fellings originating from conifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Logging residues from final fellings originating from nonconifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Logging residues from thinnings from conifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Logging residues from thinnings from nonconifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Maize stover,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Miscanthus (Perennial grass),Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Oil seed rape straw,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Other SRC,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Reed Canary Grass (Perennial grass),Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,"cost : Residues from fruit tree plantations (apples, pears and soft fruit)",Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Residues from vineyards,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Rice straw,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : SRC Poplar,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : SRC Willow,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Stemwood from final fellings originating from conifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Stemwood from final fellings originating from nonconifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Stemwood from thinnings originating from conifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Stemwood from thinnings originating from nonconifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Stumps from final fellings originating from conifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Stumps from final fellings originating from nonconifer trees,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Sugarbeet leaves,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Sunflower straw,Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,cost : Switchgrass (Perennial grass),Euro/ton dry mass,FALSE,€/t,cost,socio_economic
27,S2BIOM: Biomass supply,High potential : Logging residues from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Logging residues from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Logging residues from thinnings from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Logging residues from thinnings from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Stemwood from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Stemwood from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Stemwood from thinnings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Stemwood from thinnings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Stumps from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,High potential : Stumps from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : 4212,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Bark residues from pulp and paper industry,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Biowaste as part of integrally collected municipal waste: Biodegradable waste of not separately collected municipal  waste (excluding textile and paper),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Black liquor,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Cardoon (Perennial crop),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Cereal bran,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Cereals straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Giant reed (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Grassy biomass from road side verges,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Hazardous post consumer wood,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Logging residues from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Logging residues from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Logging residues from thinnings from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Logging residues from thinnings from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Maize stover,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Miscanthus (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Non hazardous post consumer wood,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Oil seed rape straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Olive-stones,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Other SRC,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Pressed grapes dregs,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Reed Canary Grass (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Residues from citrus tree plantations,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Technical potential : Residues from fruit tree plantations (apples, pears and soft fruit)",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Residues from further woodprocessing,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Residues from olives tree plantations,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Residues from vineyards,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Residues industries producing semi finished wood based panels ,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Rice husk,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Rice straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Sawdust from sawmills from conifers,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Sawdust from sawmills from nonconifers,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Technical potential : Sawmill residues: excluding sawdust, conifers",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Technical potential : Sawmill residues: excluding sawdust, nonconifers",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Separately collected biowaste: Biodegradable waste of separately collected municipal  waste (excluding textile and paper),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : SRC Poplar,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : SRC Willow,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Stemwood from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Stemwood from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Stemwood from thinnings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Stemwood from thinnings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Stumps from final fellings originating from conifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Stumps from final fellings originating from nonconifer trees,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Sugarbeet leaves,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Sunflower straw,kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,Technical potential : Switchgrass (Perennial grass),kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,"Technical potential : Unused grassland cuttings (abandoned grassland, managed grasslands not used for feed)  ",kton dry mass,FALSE,kt,biomass,environmental
27,S2BIOM: Biomass supply,UD01 : Bark residues from pulp and paper industry,kton dry mass,FALSE,kt,biomass,environmental
