ID,di_script,di_URL,Group (datasets of the same group are similar*),Project,Title (with Hyperlink),Description (in brief),Metadata URLs,Methodology (URL to methodology descriptions),Methodology (brief description),Accuracy,Completeness,Level,Spatial Granularity,Identifier,Identifier Type,Creator,Object,Publisher,Publication Date,Publication Year,Temporal Granularity,Time references (time data refers),URLs,Content (keywords),Origin,Geographical extension,Projection system,Access conditions,License,Terms of use,Availability,Resource type,Data format,"Size of file (raw, compressed in parentheses)",Other relevant information
11,getSETIS.py,https://raw.githubusercontent.com/enermaps/datasets/main/SETIS/,E,N,SETIS: Private R&I investment in energy technologies,Integrated Strategic Energy Technology Plan Communication for each Member State on the level of investment in R&I from the private sector (expenditure by businesses and industry).,/,https://setis.ec.europa.eu/sites/default/files/reports/monitoring_r_and_i_in_low-carbon_technologies.pdf,"The technology coverage follows the integrated SET Plan structure, showing the links between the Energy Union R&I and Competitiveness priorities, the SET Plan Integrated Roadmap and the 10 SET Plan actions.
Trends in patents: The data source is PATSTAT, the Worldwide Patent Statistical Database created and maintained by the European Patent Office (EPO).
Private R&I investments: Data are estimated based on financial information from publicly available company statements and patent data from PATSTAT.
Public (national) R&I investments: The International Energy Agency (IEA) statistics are the main source of data. For further information, see the methodology documentation.","""The SETIS estimations of private R&I are a metric aimed
at enabling relative comparisons over time, rather than an accurate account of private
investment figures""",Numerous missing  values,EU27 + UK,NUTS0,http://data.europa.eu/89h/jrc-10115-10001,Uniform Resource Locator (URL),"Pasimeni, Francesco; Fiorini, Alessandro; Georgakaki, Aliki; Marmier, Alain; Jimenez Navarro, Juan Pablo; Asensio Bermejo, Jose Miguel (Joint Research Centre)",Private research and innovation (R&I) investment in energy technologies,Joint Research Centre,16/07/2018,2018,Annual,2010-2016,https://setis.ec.europa.eu/publications/setis-research-innovation-data,Research and innovation (R&I) - investment - energy technology,"Joint Research Centre ""Monitoring R&I in Low-Carbon Energy Technologies""",EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Comma-separated values (CSV) file,555 KB,/
12,,,E,N,CORDIS EU research projects under Horizon 2020,This dataset contains projects and related organisations funded by the European Union under the Horizon 2020 framework programme for research and innovation from 2014 to 2020.,https://data.europa.eu/euodp/en/data/dataset/cordisH2020projects/resource/010f269b-9ee3-45a0-afea-c43aa1ef61ac,/,Information from projects and related organisations funded by the European Union under the Horizon 2020 framework programme for research and innovation are collected and amalgamated monthly.,/,Certain fields have missing values,EU27 + UK,NUTS0,https://data.europa.eu/euodp/en/data/dataset/cordisH2020projects/resource/010f269b-9ee3-45a0-afea-c43aa1ef61ac,Uniform Resource Locator (URL),European Commission,CORDIS - EU research projects under Horizon 2020 (2014-2020) ,European Commission Publications Office,10/12/2018,2018,Non-longitudinal,2014-2020,https://data.europa.eu/euodp/en/data/dataset/cordisH2020projects,Horizon 2020 - EU research projects,Community Research and Development Information Service (CORDIS),EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,28.3 MB,/
13,,,E,N,IEA Summary Country RD&D Budgets,Summary country RD&D budgets containing total public energy RD&D expenditure data from the IEA’s Energy Technology RD&D Budget Database.,/,https://iea.blob.core.windows.net/assets/3432ae79-1645-4cf1-a415-faa3588e6f29/RDDManual.pdf,Budgets are collected through questionnaires and surveys issued by the International Energy Agency to nations.,/,/,EU27 + UK,NUTS0,https://www.iea.org/subscribe-to-data-services/energy-technology-rdd,Uniform Resource Locator (URL),International Energy Agency (IEA),Estimated RD&D Budgets by Region,International Energy Agency (IEA),2020,2020,Annual,1974-2019,https://www.iea.org/subscribe-to-data-services/energy-technology-rdd,"Research, Design, and Development (RD&D) budgets",International Energy Agency (IEA),EU27 + UK,n/a,Open - download,Beyond 20/20 License Agreement,/,Available on the web (login required),Dataset,Microsoft Excel (XLSX) file,1.63 MB,"Guest login for IEA Online Data Services Payment System, no information or payment information needed"
14,getPANGAEA.py,https://doi.pangaea.de/10.1594/PANGAEA.898014,D,Y (Energy A),Climate Extreme Indices,"71 core and non-core climate extreme indices (CEIs) based on the Expert Team on Climate Change Detection and Indices (ETCCDI), and the Expert Team on Sector-specific Climate Indices (ET-SCI). ",/,/,/,/,/,Worldwide,0.25 degree by 0.25 degree,https://doi.org/10.1594/PANGAEA.898014,Digital Object Identifier (DOI),"Mistry, M.N.",Climate Extreme Indices,PANGAEA,13/03/2019,2019,Annual,1970-2016,https://doi.pangaea.de/10.1594/PANGAEA.898014,Climate,Energy A project,Worldwide,/,Open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,NetCDF file,83.9 GB,/
15,getEra5.py,reanalysis-era5-single-levels,D,N,Copernicus: hourly global climate and weather data,Data containing single-level climate and weather data (subset of the ERA5 reanalysis dataset).,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-european-energy-sector?tab=overview,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-european-energy-sector?tab=overview,/,/,/,Worldwide,0.25°x0.25°,https://doi.org/10.24381/cds.adbb2d47,Digital Object Identifier (DOI),"Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N.",ERA5 hourly data on single levels from 1979 to present,Copernicus Climate Change Service,14/06/2018,2018,Hourly,1979-2021,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,Wind speed - precipitation - solar irradiance - air temperature,European Centre for Medium-Range Weather Forecasts (ECMWF) ERA5 reanalysis data,Worldwide,EPSG:4236,Open - download,Copernicus License Agreement,/,Available on the web (login required),Dataset,GRIB file or NetCDF file,Varies by selection,Free account required. For further information on use of dataset please visit https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf
16,,,A,N,EMHIRES: Wind power generation,High resolution renewable energy generation time series data of wind power capacity factors at NUTS 2 level.,/,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC103442/jrcreport_20161108_lastversion.pdf,"Total Full Load Hours (FLH) were calculated using the ratio between the sums of the energy produced (GWh) and the maximum possible generation (installed capacity(GW)*8760h (GWh)) per country. For further information, see the methodology documentation.","As opposed to the IRENA dataset, Renewable.ninja dataset, and the Global Wind Atlas, EMHIRES takes into account wind farm specific power curves for each location which increases its accuracy versus the other datasets.","Certain datasets from which this dataset was derived contained missing values, which were either completed with gap filling or certain datapoints were removed to create a complete dataset. ","EU27 + UK plus Iceland, Balkans countries",NUTS2,10.2790/831549,Digital Object Identifier (DOI),GONZALEZ APARICIO Iratxe; ZUCKER Andreas; CARERI Francesco; MONFORTI Fabio; HULD Thomas; BADGER Jake (Joint Research Centre),30 years of wind power capacity factors at NUTS 2 level,Joint Research Centre,2019,2019,Hourly,1986-2015,https://setis.ec.europa.eu/EMHIRES-datasets,Wind power - renewable energy,Eurostat,"EU27 + UK, Iceland, Balkan countries",n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,536 MB (535 MB),/
17,,,A,N,EMHIRES: Solar power generation,High resolution renewable energy generation time series data of solar power capacity factors at NUTS 2 level.,/,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC106897/emhirespv_gonzalezaparicioetal2017_newtemplate_corrected_last.pdf,"Capacity factors were calculated from the ratio between the sums of the energy produced (GWh) and the maximum possible generation (installed capacity (GW)*8760) per country. For further information, see the methodology documentation.","The validation of EMHIRES against power system statistics and time series published by Transmission System Operators shows a very good performance over the countries analysed. EMHIRES is able to capture the variability of solar energy, the seasonality and diurnal cycles and also the peaks and ramps. There is a general slight overestimation of the simulations due to the uncertainties accumulated in the theoretical process of the conversion of radiation into generation. ",Missing data from derived datasets (i.e. CM-SAF SARAH) were reconstructed to create a complete dataset.,EU27 + UK,NUTS2,10.2760/044693,Digital Object Identifier (DOI),"GONZALEZ-APARICIO Iratxe, HULD Thomas, CARERI Francesco, MONFORTI Fabio, ZUCKER Andreas (Joint Research Centre)",30 years of hourly solar power capacity factors at NUTS 2 level,Joint Research Centre,2019,2019,Hourly,1986-2015,https://setis.ec.europa.eu/EMHIRES-datasets,Solar power - renewable energy,Eurostat,EU27 + UK,n/a,Open - download,/,/,Available on the web,Dataset,Microsoft Excel (XLSX) file,410 MB (360 MB),/
18,getEnergydata.py,https://energydata.info/api/3/action/datastore_search?offset={offset}&resource_id={ID},C,N,Energy Efficiency Indicator,The Global Tracking Framework measures the national energy intensities and the compound annual growth rate for all countries from 1990-2014.,https://energydata.info/dataset/world-global-tracking-framework-2017/resource/5ed45e2a-0291-4338-aeda-46da78470aff,"https://webstore.iea.org/global-tracking-framework-2013#:~:text=The%20Global%20Tracking%20Framework%2C%20a,doubling%20the%20global%20rate%20of","SE4ALL Global Tracking Framework for energy efficiency will: Rely primarily on energy intensity indicators; Use PPP measures for GDP and sectoral value-added; Use primary energy supply for national indicators and final energy consumption for sectoral indicators; Complement those indicators with energy intensity of supply and of the major demand sectors; Provide a decomposition analysis to at least partially strip out confounding effects on energy intensity; Use a five-year moving average for energy intensity trends to smooth out extraneous fluctuations. For further information, see the methodology documentation.",/,Missing values in 16.3% of cells,Worldwide,NUTS0,5ed45e2a-0291-4338-aeda-46da78470aff,Permalink,Global Tracking Framework,Energy Efficiency Indicator Results ,EnergyData.Info,14/11/2018,2018,Annual,1990-2014,https://energydata.info/dataset/world-global-tracking-framework-2017/resource/5ed45e2a-0291-4338-aeda-46da78470aff,Energy efficiency,Global Tracking Framework,Worldwide,n/a,open - download,Creative Commons Attribution 4.0 International,/,Available on the web,Dataset,Comma-separated values (CSV) file,81.5 KB,/
19,getEdgar.py,https://raw.githubusercontent.com/enermaps/edgar-co2-emissions/master/,D,N,EDGAR CO_ emissions,"Timeseries 1970–2018 of CO_ emissions by country and sector (Buildings, Power Industry, Transport, Other industrial combustion, Other sectors) in Mt CO_/year.",/,https://op.europa.eu/en/publication-detail/-/publication/9d09ccd1-e0dd-11e9-9c4e-01aa75ed71a1/language-en,"In EDGAR, emissions per country and compound are calculated on an annual basis and sector wise by multiplying the country-specific activity and technology mix data by country-specific emission factors and reduction factors for installed abatement system for each sector. For further information, see the methodology documentation.",/,/,Worldwide,NUTS0,https://doi.org/10.2760/687800,Digital Object Identifier (DOI),"Crippa, M., Oreggioni, G., Guizzardi, D., Muntean, M., Schaaf, E., Lo Vullo, E., Solazzo, E., Monforti-Ferrario, F., Olivier, J.G.J., Vignati, E. (Joint Research Centre)",Data Package with EDGAR CO_ emissions,Joint Research Centre,26/09/2019,2019,Annual,1970-2018,https://github.com/openclimatedata/edgar-co2-emissions,CO_ emissions,Joint Research Centre (European Commission),Worldwide,n/a,Open - download,/,/,Available on the web,Dataset,Text (TXT) file,2.29 MB,/
20,getEra5.py,reanalysis-era5-pressure-levels,D,N,Copernicus: hourly data on pressure levels,Data containing pressure levels data (subset of the ERA5 reanalysis dataset).,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-pressure-levels?tab=overview,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-pressure-levels?tab=overview,/,/,/,Worldwide,0.25°x0.25°,https://doi.org/10.24381/cds.bd0915c6,Digital Object Identifier (DOI),"Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N.",ERA5 hourly data on pressure levels from 1979 to present,Copernicus Climate Change Service,14/06/2018,2018,Hourly,1979-2021,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-pressure-levels,Air pressure - relative humidity,European Centre for Medium-Range Weather Forecasts (ECMWF) ERA5 reanalysis data,Worldwide,EPSG:4236,Open - download,Copernicus License Agreement,/,Available on the web (login required),Dataset,GRIB file or NetCDF file,Varies by selection,Free account required. For further information on use of dataset please visit https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf
21,,,D,N,European Digital Elevation Model (EU-DEM),The EU Digital Elevation Model (EU-DEM) combines data from different sources into a single consistent and homogeneous elevation dataset.,https://land.copernicus.eu/imagery-in-situ/eu-dem/eu-dem-v1.1?tab=metadata,/,/,/,/,"Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom",1000 x 1000 km / 25 m resolution ,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1.1/view,Uniform Resource Locator (URL),European Environment Agency,EU-DEM v1.1,Copernicus Climate Change Service,20/04/2016,2016,Non-longitudinal,2011,https://land.copernicus.eu/imagery-in-situ/eu-dem/eu-dem-v1.1?tab=download,Digital elevation model,Copernicus programme,"Bounding box: West = -54.925613, East = 93.178583, North = 71.899220, South = -21.567515",EPSG:3035,Open - download,/,/,Available on the web,Dataset,GEOTIFF file,47.0 GB (47.0 GB),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R1159
