,set
133574,train
84718,train
120331,train
143600,train
126450,train
86147,train
121740,train
126462,train
89024,train
152128,train
132193,train
147564,train
121310,train
135540,train
97912,train
123174,train
116011,train
126955,train
130763,train
118487,train
167384,train
135010,train
110850,train
155925,train
174921,train
117043,train
102238,train
115031,train
110825,train
122674,train
220138,train
165905,train
145965,train
133567,train
84168,train
130333,train
148338,train
144531,train
132202,train
120818,train
88092,train
67172,train
107464,train
121744,train
144261,train
142639,train
173619,train
120745,train
19068,train
126928,train
127957,train
130767,train
147593,train
124165,train
116415,train
137446,train
21921,train
135967,train
120299,train
137867,train
185490,train
111785,train
94653,train
144527,train
114199,train
143595,train
171584,train
152137,train
115052,train
197765,train
101763,train
173020,train
111367,train
135086,train
117496,train
112657,train
127392,train
96945,train
126967,train
144047,train
126470,train
113696,train
117926,train
113616,train
135995,train
129327,train
120817,train
27167,train
134103,train
105181,train
98862,train
105052,train
115611,train
99471,train
117049,train
100898,train
148975,train
172099,train
133151,train
149272,train
133623,train
84756,train
97998,train
92740,train
139771,train
115098,train
164518,train
116052,train
140725,train
95180,train
95990,train
127450,train
130288,train
152125,train
135055,train
191701,train
85232,train
130274,train
134545,train
135472,train
107517,train
67629,train
72336,train
101719,train
99852,train
118484,train
122210,train
59988,train
130884,train
196338,train
112751,train
147842,train
128396,train
141182,train
77034,train
138387,train
119434,train
98004,train
105657,train
89399,train
130677,train
113134,train
102326,train
178271,train
168744,train
128355,train
89037,train
124611,train
147380,train
116601,train
146444,train
146445,train
145018,train
117038,train
172540,train
90291,train
134579,train
145968,train
133632,train
104096,train
113637,train
115649,train
152124,train
148326,train
103662,train
106607,train
142645,train
125488,train
130717,train
131211,train
126981,train
142640,train
122281,train
97419,train
125090,train
124585,train
130249,train
158802,train
88090,train
124619,train
122692,train
196340,train
129845,train
72853,train
135502,train
146626,train
115114,train
173120,train
138830,train
123608,train
101267,train
104228,train
140707,train
93750,train
118438,train
123112,train
113227,train
135075,train
134996,train
83823,train
99902,train
129821,train
148526,train
74291,train
79047,train
125547,train
136452,train
165906,train
126487,train
139767,train
139312,train
106557,train
174927,train
129859,train
136862,train
119320,train
134568,train
85710,train
85243,train
129289,train
77984,train
78457,train
141189,train
139285,train
123137,train
118462,train
135521,train
118503,train
148521,train
140206,train
105637,train
128348,train
134582,train
92252,train
132195,train
125066,train
126465,train
130282,train
61465,train
103665,train
126019,train
110310,train
135079,train
133128,train
153062,train
71428,train
118010,train
120845,train
137389,train
89005,train
116462,train
129832,train
84163,train
81894,train
148060,train
89033,train
102712,train
123189,train
146624,train
123159,train
126030,train
97052,train
62413,train
139793,train
134642,train
170188,train
132669,train
81899,train
175403,train
172575,train
84173,train
124129,train
120251,train
115632,train
119885,train
174928,train
20019,train
152621,train
181127,train
107461,train
67169,train
65262,train
135076,train
130275,train
126113,train
134120,train
135558,train
118907,train
118966,train
28118,train
90350,train
148054,train
118432,train
173497,train
135033,train
69075,train
145502,train
140254,train
127896,train
116575,train
104230,train
129798,train
98415,train
105180,train
128838,train
98518,train
120723,train
79999,train
89474,train
143580,train
120346,train
146422,train
148535,train
179703,train
131759,train
179224,train
117964,train
73352,train
20557,train
24315,train
91850,train
105046,train
141207,train
143084,train
86665,train
123187,train
131718,train
173017,train
143099,train
75725,train
126979,train
133579,train
123572,train
177330,train
130255,train
154993,train
159662,train
127857,train
108941,train
119401,train
120824,train
17643,train
132677,train
101799,train
99425,train
111778,train
117015,train
102274,train
113221,train
77153,train
108958,train
195943,train
196812,train
77037,train
120811,train
72858,train
166380,train
166381,train
102715,train
136961,train
192094,train
83804,train
124630,train
136509,train
103743,train
111845,train
88556,train
135058,train
82858,train
125557,train
99384,train
144045,train
146920,train
107459,train
99868,train
126942,train
128406,train
118357,train
142159,train
164043,train
168275,train
123673,train
114542,train
149756,train
130776,train
102247,train
120823,train
128401,train
197288,train
116562,train
90446,train
123631,train
114155,train
134640,train
102275,train
100336,train
152586,train
161616,train
154039,train
146907,train
121742,train
133123,train
125060,train
101854,train
130263,train
212977,train
123157,train
119835,train
168747,train
88074,train
145005,train
139308,train
117550,train
146893,train
130317,train
123654,train
123167,train
117482,train
139782,train
137885,train
139296,train
137882,train
196810,train
128893,train
20967,train
174444,train
68004,train
110415,train
115169,train
124600,train
17169,train
110856,train
128897,train
129379,train
159267,train
132183,train
142140,train
126533,train
117014,train
144987,train
131708,train
89483,train
86054,train
71452,train
121721,train
144059,train
126485,train
131210,train
105516,train
128393,train
86149,train
191227,train
103197,train
126964,train
168273,train
128389,train
161137,train
112231,train
122666,train
107896,train
138349,train
134554,train
90351,train
122245,train
159772,train
128867,train
118433,train
112232,train
124162,train
124621,train
113145,train
112706,train
159771,train
129797,train
115985,train
75240,train
139315,train
129369,train
138833,train
152624,train
136441,train
94672,train
100337,train
98427,train
116552,train
112789,train
185017,train
107889,train
91723,train
115493,train
101375,train
133121,train
77621,train
109361,train
65737,train
120287,train
175055,train
123178,train
104618,train
128331,train
110350,train
121241,train
115100,train
92327,train
136946,train
130319,train
132309,train
142165,train
121295,train
115108,train
84169,train
72337,train
129341,train
117019,train
20934,train
83331,train
126984,train
61464,train
116561,train
133158,train
85119,train
136963,train
106470,train
142607,train
106985,train
176481,train
145483,train
29067,train
165471,train
85542,train
123176,train
147391,train
134039,train
79526,train
125063,train
149964,train
133100,train
168358,train
117502,train
109890,train
123649,train
49578,train
101234,train
97526,train
135067,train
124082,train
51954,train
170649,train
196890,train
139319,train
124604,train
173045,train
111723,train
117076,train
138838,train
124641,train
177797,train
111720,train
94231,train
100376,train
195862,train
145684,train
83350,train
115511,train
108464,train
131675,train
59021,train
33840,train
72406,train
123214,train
145011,train
88563,train
116124,train
85241,train
133166,train
173971,train
141661,train
102691,train
121787,train
92728,train
133630,train
112196,train
170665,train
165946,train
123134,train
113701,train
126043,train
131706,train
127473,train
117032,train
135988,train
122215,train
119873,train
109469,train
113249,train
133157,train
131279,train
95038,train
78099,train
85123,train
130752,train
128423,train
104624,train
127917,train
165944,train
114082,train
116503,train
104684,train
135652,train
88012,train
127395,train
133104,train
148500,train
172175,train
134566,train
118367,train
125549,train
122697,train
89970,train
130328,train
86672,train
135519,train
108940,train
147851,train
135518,train
130886,train
98860,train
126478,train
168274,train
26218,train
178275,train
152110,train
143584,train
134080,train
176483,train
115167,train
108513,train
130741,train
88959,train
110349,train
98006,train
139766,train
61939,train
125033,train
112194,train
95148,train
144518,train
125983,train
147549,train
110325,train
133654,train
18594,train
135560,train
125535,train
134211,train
110365,train
111238,train
59490,train
117040,train
120770,train
120762,train
126938,train
127907,train
154513,train
130782,train
98481,train
103198,train
153091,train
103610,train
126972,train
109909,train
103136,train
89497,train
131834,train
101774,train
127006,train
94087,train
85702,train
138823,train
126990,train
131672,train
134591,train
132160,train
97566,train
137401,train
177908,train
129825,train
18117,train
117470,train
88558,train
119874,train
115116,train
134074,train
139320,train
121868,train
120835,train
128875,train
98474,train
142156,train
142167,train
187866,train
126549,train
78095,train
140729,train
75715,train
134040,train
124606,train
151610,train
134639,train
53248,train
133139,train
123132,train
98033,train
27165,train
161641,train
118494,train
121756,train
135028,train
162616,train
133629,train
133188,train
130237,train
111246,train
106586,train
120838,train
174470,train
117055,train
145970,train
139784,train
103190,train
95147,train
125036,train
99811,train
128840,train
79859,train
133109,train
129824,train
89971,train
109463,train
187865,train
81898,train
93749,train
99867,train
184541,train
108411,train
144993,train
119047,train
77630,train
131280,train
132686,train
137613,train
124110,train
125043,train
124581,train
86017,train
107455,train
158326,train
128804,train
113161,train
137391,train
73831,train
112770,train
106109,train
74630,train
105994,train
122694,train
127447,train
171596,train
146426,train
146889,train
171221,train
127059,train
81419,train
126483,train
140741,train
143119,train
145673,train
79860,train
109839,train
99899,train
116029,train
124617,train
103193,train
76204,train
126056,train
168743,train
86528,train
127956,train
151667,train
118496,train
77145,train
125980,train
105163,train
68479,train
134527,train
137407,train
86180,train
84754,train
136964,train
100285,train
102670,train
114216,train
75236,train
136460,train
134595,train
117987,train
66697,train
106042,train
94192,train
83349,train
89954,train
117951,train
106529,train
112181,train
145493,train
122715,train
119776,train
173556,train
120308,train
133618,train
120247,train
134609,train
21445,train
107532,train
145007,train
144989,train
41885,train
123138,train
88487,train
135500,train
140270,train
86491,train
106047,train
54795,train
124622,train
118442,train
82842,train
125988,train
105996,train
158247,train
75581,train
101755,train
146150,train
102183,train
82851,train
117013,train
171614,train
108468,train
168745,train
130272,train
106991,train
120807,train
82396,train
143562,train
114557,train
126023,train
134104,train
84733,train
103199,train
112659,train
177774,train
143573,train
122227,train
144036,train
132655,train
144057,train
135009,train
98954,train
177907,train
84757,train
103660,train
141186,train
136032,train
135505,train
124149,train
98471,train
115553,train
89496,train
114201,train
84256,train
72728,train
112639,train
126517,train
103201,train
127023,train
114629,train
125061,train
117058,train
80951,train
135946,train
126514,train
145023,train
109877,train
133607,train
132667,train
89877,train
131746,train
147578,train
75106,train
110360,train
129796,train
132181,train
129764,train
148812,train
125990,train
168269,train
113236,train
142174,train
190278,train
116583,train
85248,train
93761,train
103279,train
124618,train
187390,train
131246,train
143115,train
128898,train
115032,train
174032,train
117961,train
73710,train
123140,train
133110,train
126532,train
120777,train
129363,train
117047,train
106472,train
178276,train
141663,train
126486,train
127026,train
100893,train
125558,train
145953,train
197283,train
119812,train
119398,train
148331,train
135651,train
115583,train
146905,train
126037,train
94230,train
124147,train
109856,train
176468,train
137863,train
120833,train
129279,train
142158,train
80005,train
131689,train
100416,train
220612,train
122725,train
62358,train
222988,train
105102,train
131249,train
100823,train
139762,train
105528,train
218716,train
117489,train
146923,train
124166,train
125966,train
145473,train
132311,train
89952,train
71927,train
124155,train
136422,train
147828,train
86654,train
175871,train
172093,train
71928,train
95519,train
133259,train
191229,train
126958,train
159295,train
129789,train
94090,train
114198,train
143599,train
152108,train
124557,train
97042,train
113643,train
66216,train
129801,train
84645,train
174922,train
85230,train
28571,train
84291,train
106987,train
138816,train
114588,train
94701,train
117958,train
130887,train
94563,train
65736,train
131226,train
147565,train
93140,train
80363,train
128009,train
130753,train
114206,train
114208,train
117943,train
135047,train
123192,train
145677,train
127465,train
106590,train
119855,train
132623,train
131251,train
160691,train
145945,train
135516,train
87098,train
142132,train
167330,train
135563,train
107057,train
130719,train
150703,train
128848,train
131679,train
126041,train
135023,train
124599,train
120306,train
146635,train
82864,train
151662,train
171613,train
124596,train
116579,train
77155,train
125062,train
123200,train
135062,train
128836,train
126963,train
113660,train
89473,train
127478,train
71431,train
80474,train
114537,train
145498,train
195863,train
135976,train
108939,train
137892,train
112219,train
103667,train
177915,train
105138,train
116443,train
152109,train
101327,train
114196,train
145496,train
117524,train
112669,train
110356,train
115119,train
109317,train
110831,train
125092,train
118004,train
84300,train
127920,train
129351,train
136471,train
130775,train
144998,train
119438,train
117879,train
100292,train
85707,train
119388,train
179220,train
80473,train
88565,train
68480,train
115509,train
120326,train
71453,train
106083,train
141688,train
134606,train
123633,train
48628,train
127918,train
134073,train
133142,train
121307,train
103258,train
79383,train
107029,train
136940,train
176003,train
98946,train
126966,train
71929,train
101717,train
111311,train
124132,train
83809,train
136019,train
119445,train
139785,train
145976,train
106132,train
171140,train
99380,train
112316,train
128418,train
145210,train
111368,train
95039,train
98955,train
134995,train
100791,train
101742,train
163567,train
124565,train
134135,train
122632,train
115104,train
144539,train
28065,train
136028,train
115489,train
127921,train
148799,train
128378,train
74661,train
125112,train
135495,train
118842,train
133051,train
148499,train
141202,train
134572,train
135564,train
120348,train
144264,train
135484,train
171699,train
148797,train
94561,train
134547,train
108410,train
129318,train
142157,train
137850,train
138829,train
129376,train
136009,train
104659,train
173015,train
148517,train
138844,train
131228,train
139289,train
137392,train
101325,train
115158,train
73233,train
116102,train
135115,train
145014,train
115621,train
126983,train
101758,train
101720,train
126060,train
125059,train
127913,train
122738,train
116569,train
107943,train
179702,train
99392,train
85586,train
180175,train
127947,train
127476,train
138355,train
184930,train
107456,train
140730,train
120366,train
134571,train
127861,train
198792,train
87133,train
71926,train
127439,train
123652,train
139317,train
133648,train
114541,train
111263,train
124136,train
144072,train
67647,train
126523,train
127419,train
127449,train
92253,train
102216,train
93678,train
144519,train
145957,train
100851,train
116123,train
110787,train
144070,train
134546,train
142164,train
100335,train
138826,train
113166,train
122217,train
126005,train
122229,train
138818,train
122703,train
172654,train
100805,train
130314,train
107947,train
111847,train
128845,train
132208,train
112198,train
101709,train
69548,train
2400,train
99861,train
121237,train
116999,train
131361,train
145017,train
85715,train
16694,train
123162,train
166853,train
152561,train
122688,train
6680,train
113636,train
113225,train
110892,train
89479,train
117485,train
142632,train
173972,train
125010,train
127437,train
71919,train
51004,train
130276,train
171615,train
92799,train
145482,train
98473,train
141193,train
98478,train
81922,train
99866,train
130327,train
195942,train
132618,train
106946,train
116055,train
111713,train
125105,train
99850,train
107418,train
160241,train
86629,train
134086,train
152106,train
172075,train
107892,train
191727,train
153086,train
65260,train
127441,train
121294,train
74660,train
142162,train
153573,train
128433,train
74764,train
123160,train
114610,train
135947,train
126975,train
120322,train
152107,train
93275,train
135471,train
185018,train
122735,train
140267,train
132205,train
103735,train
94198,train
128334,train
111734,train
82384,train
138837,train
86055,train
96051,train
190753,train
144999,train
139301,train
160136,train
133105,train
132652,train
121751,train
109465,train
103754,train
94567,train
128899,train
123616,train
140208,train
126961,train
131194,train
170174,train
127405,train
135993,train
119909,train
134051,train
120812,train
121720,train
104229,train
86662,train
100332,train
171122,train
146902,train
137386,train
127858,train
124556,train
101283,train
121788,train
171149,train
125534,train
111711,train
141203,train
113621,train
162090,train
171698,train
118012,train
132631,train
153511,train
114554,train
135544,train
150694,train
137880,train
69065,train
131719,train
124559,train
126459,train
66688,train
70379,train
50519,train
128387,train
96466,train
200691,train
117967,train
101235,train
107898,train
127884,train
72381,train
121316,train
124561,train
150914,train
134105,train
139291,train
95178,train
131242,train
118935,train
129726,train
99817,train
107891,train
126504,train
131692,train
73708,train
133174,train
113265,train
142780,train
84258,train
71908,train
133261,train
101853,train
130250,train
64793,train
116007,train
95515,train
144535,train
124536,train
101801,train
123650,train
132619,train
78096,train
119882,train
117495,train
124085,train
101377,train
172098,train
119852,train
127901,train
165431,train
83802,train
131734,train
104622,train
148538,train
104149,train
166837,train
139796,train
127911,train
115148,train
140269,train
95146,train
112668,train
132197,train
154041,train
101236,train
66696,train
127889,train
133146,train
75229,train
78463,train
132688,train
174446,train
126522,train
126553,train
102660,train
78464,train
117506,train
176467,train
105997,train
154463,train
145027,train
131255,train
105611,train
222037,train
146423,train
120297,train
104660,train
131214,train
113587,train
71930,train
169695,train
144729,train
72386,train
143581,train
129991,train
110891,train
161617,train
120771,train
149274,train
139304,train
170646,train
146894,train
131221,train
84644,train
101756,train
139791,train
129841,train
110753,train
132683,train
145491,train
147394,train
137415,train
127888,train
125074,train
127009,train
121272,train
128330,train
182555,train
69077,train
154524,train
124627,train
124135,train
180653,train
73351,train
126956,train
125973,train
141690,train
82852,train
20020,train
142641,train
103183,train
102666,train
131203,train
132310,train
178856,train
111784,train
126536,train
126022,train
174471,train
123607,train
124141,train
175878,train
114207,train
167328,train
102234,train
130298,train
116535,train
119377,train
127887,train
121298,train
109368,train
98034,train
75709,train
133161,train
85240,train
115624,train
74766,train
145484,train
83754,train
111372,train
74774,train
198788,train
131742,train
75239,train
114630,train
84649,train
105563,train
110855,train
130732,train
121773,train
128865,train
178272,train
141206,train
90426,train
83212,train
105039,train
117028,train
110379,train
96094,train
65745,train
116045,train
146919,train
50051,train
20968,train
100821,train
93286,train
100375,train
114091,train
82871,train
120806,train
118969,train
133651,train
128864,train
114212,train
146629,train
104211,train
103661,train
114680,train
114545,train
127398,train
130778,train
148545,train
111369,train
100348,train
115990,train
111707,train
166379,train
139774,train
123660,train
124157,train
116049,train
136923,train
124109,train
145025,train
196335,train
84162,train
106947,train
113168,train
123995,train
153082,train
21444,train
161643,train
116105,train
141655,train
136967,train
80452,train
141660,train
117052,train
134090,train
81427,train
135065,train
136034,train
107882,train
116086,train
120345,train
82857,train
123609,train
135971,train
107948,train
84285,train
145687,train
130238,train
120271,train
120303,train
120335,train
150229,train
71808,train
104682,train
173046,train
131244,train
71907,train
103613,train
132785,train
139777,train
119875,train
128413,train
132185,train
126015,train
130781,train
170189,train
113739,train
110836,train
120837,train
86179,train
134536,train
146429,train
179227,train
121262,train
154047,train
151649,train
128852,train
72757,train
120341,train
113733,train
151668,train
121199,train
111712,train
135036,train
140738,train
154059,train
129826,train
147862,train
101197,train
126551,train
173519,train
174037,train
159773,train
139295,train
141221,train
133643,train
98904,train
86197,train
158711,train
129349,train
105182,train
132644,train
124161,train
131756,train
124602,train
140263,train
130245,train
88525,train
114577,train
99869,train
51477,train
123587,train
77507,train
83278,train
143109,train
71435,train
109808,train
108843,train
131704,train
87576,train
106583,train
196811,train
135486,train
75249,train
98544,train
85539,train
147377,train
159661,train
124130,train
100329,train
126490,train
151135,train
99950,train
94700,train
173601,train
118959,train
117963,train
111814,train
138339,train
126520,train
133617,train
124134,train
132170,train
118961,train
141901,train
134077,train
70968,train
126939,train
109885,train
153081,train
132159,train
147090,train
147840,train
130780,train
126524,train
132190,train
93204,train
120809,train
103278,train
195386,train
113255,train
133637,train
103167,train
134587,train
139733,train
168742,train
81895,train
21446,train
133634,train
84647,train
131677,train
147088,train
118000,train
107993,train
130808,train
126032,train
134060,train
173492,train
112761,train
124114,train
130287,train
100421,train
197282,train
140706,train
95101,train
125491,train
162116,train
135590,train
130783,train
121739,train
161676,train
146449,train
65261,train
101718,train
137868,train
125087,train
75228,train
80479,train
98957,train
152149,train
134613,train
128405,train
104141,train
114597,train
71454,train
75612,train
120783,train
93241,train
146917,train
106099,train
83686,train
134598,train
133189,train
183504,train
125569,train
139758,train
115967,train
142138,train
108953,train
80929,train
145958,train
98947,train
86669,train
124113,train
99341,train
141668,train
126923,train
113720,train
136442,train
88087,train
118443,train
17167,train
154999,train
136935,train
135002,train
94627,train
117020,train
132167,train
123993,train
115140,train
115623,train
114538,train
98906,train
95654,train
105596,train
125520,train
116534,train
139778,train
127010,train
94670,train
123672,train
134110,train
109356,train
105053,train
133577,train
105991,train
173500,train
119410,train
125507,train
130285,train
136910,train
73817,train
131283,train
89440,train
168748,train
132166,train
145504,train
109804,train
87145,train
131219,train
83822,train
106114,train
134111,train
126437,train
140273,train
112265,train
146420,train
20494,train
121319,train
145211,train
150698,train
119411,train
130273,train
116966,train
103677,train
137875,train
120267,train
23395,train
127482,train
130738,train
123213,train
66222,train
117007,train
130733,train
152615,train
171141,train
88073,train
105093,train
129851,train
132165,train
163096,train
134593,train
185491,train
159770,train
105992,train
133736,train
185401,train
138820,train
115582,train
68590,train
151388,train
131673,train
104191,train
127467,train
125008,train
125044,train
128386,train
128870,train
106513,train
108844,train
136021,train
114101,train
115642,train
133173,train
127940,train
26693,train
197290,train
76186,train
160215,train
117988,train
114694,train
130739,train
190194,train
132168,train
132691,train
110284,train
173992,train
67505,train
85115,train
99336,train
120340,train
88080,train
84303,train
109939,train
102233,train
131243,train
119395,train
102661,train
116564,train
100900,train
134643,train
104696,train
108955,train
123692,train
99339,train
132179,train
128365,train
116046,train
131218,train
118428,train
122213,train
132576,train
139792,train
130299,train
149001,train
18593,train
150710,train
117017,train
92801,train
51479,train
125561,train
145019,train
116502,train
129813,train
131744,train
101716,train
141340,train
82379,train
144263,train
99856,train
131688,train
125101,train
127934,train
132172,train
109841,train
122837,train
120371,train
114674,train
85245,train
153586,train
88013,train
111228,train
186352,train
84778,train
85709,train
126948,train
127422,train
96134,train
96465,train
131250,train
144056,train
116890,train
122361,train
185965,train
129816,train
132646,train
146621,train
102713,train
188340,train
76086,train
128810,train
185878,train
75703,train
96052,train
138348,train
121279,train
168268,train
121409,train
49102,train
129830,train
118466,train
102185,train
115016,train
109854,train
125080,train
135650,train
52773,train
173021,train
126940,train
98441,train
153575,train
110841,train
126508,train
119775,train
140406,train
127859,train
107420,train
118472,train
124609,train
115168,train
84770,train
107516,train
127916,train
76561,train
107059,train
132638,train
85231,train
120289,train
91849,train
53368,train
99472,train
115105,train
132692,train
107520,train
130286,train
126971,train
116555,train
127011,train
128837,train
144055,train
89006,train
145479,train
116457,train
80006,train
145963,train
100315,train
135029,train
97951,train
99851,train
150699,train
161138,train
100897,train
140250,train
129804,train
127950,train
128388,train
132630,train
163528,train
87616,train
146450,train
176886,train
150701,train
97948,train
147563,train
70009,train
83685,train
113730,train
146428,train
142630,train
143102,train
82375,train
121895,train
171594,train
114645,train
126507,train
123179,train
131224,train
118423,train
105095,train
147870,train
135044,train
143118,train
83805,train
120780,train
132687,train
122664,train
135035,train
127870,train
148063,train
125088,train
185492,train
122720,train
136915,train
134588,train
113263,train
101768,train
125482,train
115968,train
132204,train
147396,train
135989,train
122700,train
82385,train
117882,train
123173,train
100419,train
136016,train
134091,train
140268,train
121280,train
124595,train
152085,train
109416,train
180153,train
174450,train
108461,train
124154,train
146433,train
121254,train
125499,train
82369,train
145501,train
117454,train
136018,train
143120,train
139283,train
131152,train
154044,train
124143,train
118479,train
134553,train
176002,train
135494,train
72402,train
117474,train
127927,train
113639,train
171124,train
123199,train
138808,train
122267,train
148068,train
28593,train
164994,train
156805,train
172649,train
136456,train
108369,train
125567,train
137894,train
137403,train
116521,train
87060,train
117484,train
118490,train
127396,train
125083,train
136928,train
127932,train
115969,train
152129,train
161612,train
136030,train
132649,train
128868,train
132636,train
135041,train
161168,train
112695,train
125518,train
150222,train
162596,train
152607,train
124567,train
147117,train
113750,train
131213,train
103674,train
122622,train
148993,train
94629,train
122690,train
135070,train
139318,train
185020,train
53371,train
87007,train
97956,train
115615,train
135059,train
167329,train
134112,train
99433,train
64786,train
120334,train
118478,train
116997,train
112728,train
76675,train
87598,train
66217,train
106942,train
86181,train
137876,train
113588,train
136933,train
104227,train
133650,train
111308,train
95623,train
129325,train
126992,train
174094,train
97049,train
127384,train
141686,train
118434,train
128834,train
125560,train
71434,train
118957,train
90435,train
140252,train
133638,train
70959,train
107987,train
125566,train
125545,train
126467,train
116574,train
92186,train
120841,train
130295,train
126525,train
136014,train
115011,train
120784,train
131265,train
133098,train
119399,train
116529,train
145464,train
132203,train
83317,train
138814,train
136464,train
119865,train
127481,train
152075,train
104089,train
154462,train
147841,train
171121,train
176348,train
117969,train
120797,train
109415,train
100420,train
178248,train
136900,train
122263,train
88010,train
119884,train
100418,train
130301,train
199263,train
117452,train
93716,train
127418,train
145675,train
127435,train
118794,train
184540,train
119857,train
75134,train
128408,train
113133,train
116092,train
81426,train
113723,train
96095,train
53247,train
100809,train
116095,train
118900,train
108008,train
95622,train
132640,train
124632,train
105048,train
77988,train
119838,train
184542,train
86674,train
84276,train
135541,train
142173,train
100817,train
152112,train
100814,train
146432,train
120791,train
141188,train
120343,train
142629,train
50520,train
104574,train
134517,train
98861,train
140727,train
126498,train
120769,train
107934,train
72391,train
130750,train
135019,train
121289,train
116977,train
135553,train
119841,train
84280,train
84758,train
171623,train
122272,train
126931,train
72857,train
98909,train
126458,train
126112,train
139790,train
144051,train
158712,train
104210,train
125089,train
121682,train
135022,train
108009,train
135543,train
117475,train
25742,train
118014,train
123659,train
125024,train
148322,train
97524,train
103194,train
116559,train
131254,train
126057,train
154989,train
109938,train
175054,train
113729,train
103751,train
92665,train
137393,train
135955,train
144516,train
103622,train
129819,train
106084,train
126033,train
154040,train
102245,train
88081,train
124122,train
153569,train
134108,train
85540,train
122224,train
128826,train
110348,train
112324,train
123620,train
105518,train
115580,train
20556,train
125054,train
98388,train
167793,train
117471,train
75726,train
110359,train
105656,train
85250,train
123610,train
117514,train
113167,train
83806,train
119893,train
127407,train
97525,train
122746,train
129320,train
127431,train
168749,train
134562,train
153986,train
93617,train
84774,train
172650,train
110323,train
110280,train
109413,train
134070,train
172569,train
144548,train
98440,train
100895,train
105612,train
107417,train
117941,train
128906,train
127443,train
173517,train
77620,train
110351,train
127899,train
131216,train
127002,train
138361,train
18119,train
106082,train
135509,train
116520,train
141205,train
160696,train
131252,train
146922,train
89949,train
83319,train
131268,train
134998,train
92326,train
114598,train
86176,train
124086,train
86661,train
143592,train
50993,train
175872,train
126548,train
118899,train
116581,train
145466,train
134138,train
135985,train
105519,train
127451,train
135073,train
84638,train
184454,train
129818,train
120373,train
125550,train
121719,train
105167,train
114130,train
137865,train
92664,train
134046,train
123682,train
184063,train
151187,train
124555,train
132150,train
103184,train
144050,train
161192,train
111732,train
112693,train
138827,train
115013,train
173594,train
114623,train
186913,train
131703,train
129378,train
130728,train
120327,train
61938,train
195938,train
135088,train
118924,train
95991,train
109844,train
120248,train
143124,train
139307,train
173521,train
198313,train
121267,train
104209,train
85703,train
88050,train
118356,train
114214,train
83217,train
116463,train
162121,train
88086,train
71451,train
90436,train
115149,train
143577,train
148546,train
117009,train
87590,train
141191,train
144995,train
7160,train
93205,train
135547,train
185494,train
174468,train
133649,train
146149,train
98480,train
84776,train
185015,train
161165,train
121263,train
122673,train
124586,train
